& 100MVA Base                                                             
&===*====1====*====2====*====3====*====4====*====5====*====6====*====7====*====8
& TRANSMISSION LINE DATA
& BRANCH # FROM NODE   TO NODE CCT    R         X         Y/2
XCB4607607      8607      9607  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1610610       610      6610  1                                           CA  
XCB2610610      6610      7610  1                                           81  
XCB3610610      7610      8610  1                                           78  
XCB4610610      8610      9610  1                                           59  
&---+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1611611       611      6611  1                                           CA  
XCB2611611      6611      7611  1                                           81  
XCB3611611      7611      8611  1                                           78  
XCB4611611      8611      9611  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1612612       612      6612  1                                           CA  
XCB2612612      6612      7612  1                                           81  
XCB3612612      7612      8612  1                                           78  
XCB4612612      8612      9612  1                                           59  
&SC-+----1----+----2----+----3----+----4----+----5----+----6----+----7----+----8
XCB1613613       613      6613  1                                           CA  
XCB2613613      6613      7613  1                                           81  
XCB3613613      7613      8613  1                                           78  
XCB4613613      8613      9613  1                                           59  
&===+====1====+====2====+====3====+====4====+====5====+====6====+====7====+====8
XCB1616616       616      6616  1                                           CA  
XCB2616616      6616      7616  1                                           81  
XCB3616616      7616      8616  1                                           78  
XCB4616616      8616      9616  1                                           59  
&
XCB1617617       617      6617  1                                           CA  
XCB2617617      6617      7617  1                                           81  
XCB3617617      7617      8617  1                                           78  
XCB4617617      8617      9616  1                                           59  
&===+====1====+====2====+====3====+====4====+====5====+====6====+====7====+====8
XCB1700700       700      6700  1                                           CA  
XCB2700700      6700      7700  1                                           81  
XCB3700700      7700      8700  1                                           78  
XCB4700700      8700      9700  1                                           59  
&
XCB1711711       711      6711  1                                           CA  
XCB2711711      6711      7711  1                                           81  
XCB3711711      7711      8711  1                                           78  
XCB4711711      8711      9700  1                                           59  
&===*====1====*====2====*====3====*====4====*====5====*====6====*====7====*====8
& STEP-UP TRANSFORMERS FOR GENERATOR
& BRANCH # FROM NODE   TO NODE BANK   X      TAP RATIO    R
XR 9501501      9501       001  1   0.086957   1.000    0.002174
XR 9504504      9504       004  1   0.086957   1.000    0.002174
XR 9506506      9506       006  1   0.086957   1.000    0.002174
XR 9508508      9508       008  1   0.200000   1.000    0.006600
XR 9510510      9510       010  2   0.040000   1.000    0.000800
XR 9512512      9512       012  4   0.400000   1.000    0.001600
XR 9515515      9515       015  1   0.086957   1.000    0.002174
XR 9518518      9518       018  1   0.086957   1.000    0.002174
XR 9519519      9519       019  1   0.086957   1.000    0.002174
XR 9524524      9524       024  1   0.021277   1.000    0.000426
XR 9525525      9525       025  1   0.046512   1.000    0.001023
XR 9526526      9526       026  2   0.065359   1.000    0.001634
XR 9527527      9527       027  1   0.022222   1.000    0.000444
XR 9531531      9531       031  1   1.250000   1.000    0.083750
XR 9532532      9532       032  1   0.086957   1.000    0.002174
XR 9534534      9534       034  1   0.086957   1.000    0.002174
XR 9536536      9536       036  1   0.086957   1.000    0.002174
XR 9540540      9540       040  1   0.086957   1.000    0.002174
XR 9542542      9542       042  1   0.266667   1.000    0.010667
XR 9546546      9546       046  2   0.833333   1.000    0.055833
XR 9549549      9549       049  1   0.066667   1.000    0.001667
XR 9554554      9554       054  3   0.200000   1.000    0.006600
XR 9555555      9555       055  1   0.086957   1.000    0.002174
XR 9556556      9556       056  1   0.500000   1.000    0.020000
XR 9559559      9559       059  2   0.086957   1.000    0.002174
XR 9561561      9561       061  1   0.041667   1.000    0.000917
XR 9562562      9562       062  1   0.086957   1.000    0.002174
XR 9565565      9565       065  2   0.045455   1.000    0.001000
XR 9566566      9566       066  2   0.041667   1.000    0.000917
XR 9569569      9569       069  1   0.064516   1.000    0.001419
XR 9570570      9570       070  1   0.086957   1.000    0.002174
XR 9572572      9572       072  1   0.086957   1.000    0.002174
XR 9573573      9573       073  1   0.086957   1.000    0.002174
XR 9574574      9574       074  1   0.086957   1.000    0.002174
XR 9576576      9576       076  1   0.086957   1.000    0.002174
XR 9577577      9577       077  1   0.086957   1.000    0.002174
XR 9580580      9580       080  2   0.060606   1.000    0.001333
XR 9585585      9585       085  1   0.086957   1.000    0.003304
XR 9587587      9587       087  1   0.666667   1.000    0.037333
XR 9589589      9589       089  3   0.041667   1.000    0.000917
XR 9590590      9590       090  1   0.086957   1.000    0.002174
XR 9591591      9591       091  1   0.266667   1.000    0.010667
XR 9592592      9592       092  1   0.086957   1.000    0.002174
XR 9599599      9599       099  1   0.086957   1.000    0.002174
XR 9600600      9600       100  1   0.100000   1.000    0.002500
XR 9700700      9700       100  1   0.041667   1.000    0.000917
XR 9603603      9603       103  1   0.133333   1.000    0.003867
XR 9604604      9604       104  1   0.086957   1.000    0.002174
XR 9605605      9605       105  1   0.086957   1.000    0.002174
XR 9607607      9607       107  1   0.666667   1.000    0.033333
XR 9610610      9610       110  1   0.086957   1.000    0.002174
XR 9611611      9611       111  1   0.133333   1.000    0.003867
XR 9612612      9612       112  1   1.000000   1.000    0.067000
XR 9613613      9613       113  1   1.333333   1.000    0.089333
XR 9616616      9616       116  1   0.045455   1.000    0.001000
&===*====1====*====2====*====3====*====4====*====5====*====6====*====7====*====8
& STEP-DOWN TRANSFORMERS FOR LOADS
& BRANCH # FROM NODE   TO NODE BANK   X      TAP RATIO    R
XR 9001301       001       301  2   0.160000   1.000    0.005280
XR 9002302       002       302  2   0.454545   1.000    0.015000
XR 9003303       003       303  2   0.160000   1.000    0.005280
XR 9004304       004       304  2   0.454545   1.000    0.015000
XR 9006306       006       306  2   0.160000   1.000    0.005280
XR 9007307       007       307  2   0.454545   1.000    0.015000
XR 9011311       011       311  2   0.160000   1.000    0.005280
XR 9012312       012       312  2   0.160000   1.000    0.005280
XR 9013313       013       313  2   0.160000   1.000    0.005280
XR 9014314       014       314  2   0.454545   1.000    0.015000
XR 9015315       015       315  2   0.160000   1.000    0.005280
XR 9016316       016       316  2   0.454545   1.000    0.015000
XR 9017317       017       317  2   0.454545   1.000    0.015000
XR 9018318       018       318  2   0.160000   1.000    0.005280
XR 9019319       019       319  2   0.160000   1.000    0.005280
XR 9020320       020       320  2   0.454545   1.000    0.015000
XR 9021321       021       321  2   0.454545   1.000    0.015000
XR 9022322       022       322  2   0.454545   1.000    0.015000
XR 9023323       023       323  2   0.454545   1.000    0.015000
XR 9027327       027       327  2   0.160000   1.000    0.005280
XR 9028328       028       328  2   0.454545   1.000    0.015000
XR 9029329       029       329  2   0.454545   1.000    0.015000
XR 9031331       031       331  2   0.160000   1.000    0.005280
XR 9032332       032       332  2   0.160000   1.000    0.005280
XR 9033333       033       333  2   0.454545   1.000    0.015000
XR 9034334       034       334  2   0.160000   1.000    0.005280
XR 9035335       035       335  2   0.160000   1.000    0.005280
XR 9036336       036       336  2   0.454545   1.000    0.015000
XR 9039339       039       339  2   0.454545   1.000    0.015000
XR 9040340       040       340  2   0.454545   1.000    0.015000
XR 9041341       041       341  2   0.160000   1.000    0.005280
XR 9042342       042       342  2   0.160000   1.000    0.005280
XR 9043343       043       343  2   0.454545   1.000    0.015000
XR 9044344       044       344  2   0.454545   1.000    0.015000
XR 9045345       045       345  2   0.160000   1.000    0.005280
XR 9046346       046       346  2   0.454545   1.000    0.015000
XR 9047347       047       347  2   0.160000   1.000    0.005280
XR 9048348       048       348  2   0.454545   1.000    0.015000
XR 9049349       049       349  2   0.160000   1.000    0.005280
XR 9050350       050       350  2   0.454545   1.000    0.015000
XR 9051351       051       351  2   0.454545   1.000    0.015000
XR 9052352       052       352  2   0.454545   1.000    0.015000
XR 9053353       053       353  2   0.454545   1.000    0.015000
XR 9054354       054       354  4   0.160000   1.000    0.005280
XR 9055355       055       355  2   0.160000   1.000    0.005280
XR 9056356       056       356  2   0.160000   1.000    0.005280
XR 9057357       057       357  2   0.454545   1.000    0.015000
XR 9058358       058       358  2   0.454545   1.000    0.015000
XR 9059359       059       359  6   0.160000   1.000    0.005280
XR 9060360       060       360  2   0.160000   1.000    0.005280
XR 9062362       062       362  2   0.160000   1.000    0.005280
XR 9066366       066       366  2   0.160000   1.000    0.005280
XR 9067367       067       367  2   0.454545   1.000    0.015000
XR 9070370       070       370  2   0.160000   1.000    0.005280
XR 9074374       074       374  2   0.160000   1.000    0.005280
XR 9075375       075       375  2   0.160000   1.000    0.005280
XR 9076376       076       376  2   0.160000   1.000    0.005280
XR 9077377       077       377  2   0.160000   1.000    0.005280
XR 9078378       078       378  2   0.160000   1.000    0.005280
XR 9079379       079       379  2   0.160000   1.000    0.005280
XR 9080380       080       380  4   0.160000   1.000    0.005280
XR 9082382       082       382  2   0.160000   1.000    0.005280
XR 9083383       083       383  2   0.454545   1.000    0.015000
XR 9084384       084       384  2   0.454545   1.000    0.015000
XR 9085385       085       385  2   0.454545   1.000    0.015000
XR 9086386       086       386  2   0.454545   1.000    0.015000
XR 9088388       088       388  2   0.160000   1.000    0.005280
XR 9090390       090       390  2   0.160000   1.000    0.005280
XR 9092392       092       392  2   0.160000   1.000    0.005280
XR 9093393       093       393  2   0.454545   1.000    0.015000
XR 9094394       094       394  2   0.454545   1.000    0.015000
XR 9095395       095       395  2   0.160000   1.000    0.005280
XR 9096396       096       396  2   0.160000   1.000    0.005280
XR 9097397       097       397  2   0.454545   1.000    0.015000
XR 9098398       098       398  2   0.160000   1.000    0.005280
XR 9100400       100       400  2   0.160000   1.000    0.005280
XR 9101401       101       401  2   0.454545   1.000    0.015000
XR 9102402       102       402  2   0.454545   1.000    0.015000
XR 9103403       103       403  2   0.454545   1.000    0.015000
XR 9104404       104       404  2   0.160000   1.000    0.005280
XR 9105405       105       405  2   0.454545   1.000    0.015000
XR 9106406       106       406  2   0.160000   1.000    0.005280
XR 9107407       107       407  2   0.454545   1.000    0.015000
XR 9108408       108       408  2   0.454545   1.000    0.015000
XR 9109409       109       409  2   0.454545   1.000    0.015000
XR 9110410       110       410  2   0.160000   1.000    0.005280
XR 9112412       112       412  2   0.454545   1.000    0.015000
XR 9114414       114       414  2   0.454545   1.000    0.015000
XR 9115415       115       415  2   0.454545   1.000    0.015000
XR 9117417       117       417  2   0.454545   1.000    0.015000
XR 9118418       118       418  2   0.160000   1.000    0.005280
XEND
&===*====1====*====2====*====3====*====4====*====5====*====6====*====7====*====8
& GENERATOR BUS (501-700)
&   NODE # |VOLT|      PG        QG        PL        QL        QC        COMMENT
N      501 0.99048             0.00001                               Riverside
N      504 1.05000             0.00001                               NCarlisle
N      506 0.99000             0.00001                               Kankakee 
N      508 1.02000             0.00001                               Olive    
N      510 1.05000     2.108               0.000     0.000    0.000  Breed    
N      511 1.05000     2.108               0.000     0.000    0.000  Breed    
N      512 1.00952   0.19975                                         TwnBranch
N      513 1.00952   0.19975                                         TwnBranch
N      514 1.00952   0.19975                                         TwnBranch
N      516 1.00952   0.19975                                         TwnBranch
N      515 0.98000             0.00001                               FortWayne
N      518 0.97300             0.00001                               McKinley 
N      519 0.96400             0.00001                               Lincoln  
N      524 1.00476             0.00001                               Trenton  
N      525 1.05000     1.8275              0.000     0.000    0.000  TannersCk
N      526 1.05333     1.300               0.000     0.000    0.000  TannersCk
N      528 1.05333     1.300               0.000     0.000    0.000  TannersCk
N      527 0.98000             0.00001                               Madison  
N      531 0.98095     0.070                                         DeerCreek
N      532 0.97143             0.00001                               Delaware 
N      534 1.00476             0.00001                               Rockhill 
N      536 1.00000             0.00001                               Sterling 
N      540 0.99048             0.00001                               West End 
N      542 1.00952             0.00001                               Howard   
N      546 1.01333    0.0925                                         W.Lancstr
N      547 1.01333    0.0925                                         W.Lancstr
N      549 1.04667     1.065                                         Philo    
N      554 1.00000     0.350                                         Torrey   
N      557 1.00000     0.350                                         Torrey   
N      558 1.00000     0.350                                         Torrey   
N      555 0.97143             0.00001                               Wagenhals
N      556 1.00952             0.00001                               Sunnyside
N      559 1.03333     0.950                                         Tidd     
N      560 1.03333     0.950                                         Tidd     
N      561 1.04667     1.000               0.000     0.000    0.000  W. Kammer
N      563 1.04667     1.000               0.000     0.000    0.000  W. Kammer
N      562 1.02857             0.00001                               Natrium  
N      565 1.04500     1.870               0.000     0.000    0.000  Muskingum
N      567 1.04500     1.870               0.000     0.000    0.000  Muskingum
N      566 1.02500     1.960                                         Muskingum
N      568 1.02500     1.960                                         Muskingum
N      569 1.05000     0.3156              0.000     0.000    0.000  Sporn    
N      570 0.98400             0.00001                               Portsmoth
N      572 1.00190             0.00001                               Hillsboro
N      573 0.99100             0.00001                               Sargents 
&      574 0.96000            -0.00001                               Bellefont
N      574                    -0.06000                               Bellefont
N      576 1.00000             0.00001                               Darrah   
N      577 1.04762             0.00001                               Turner   
N      580 1.04000     1.377                                         Cabin Crk
N      581 1.04000     1.377                                         Cabin Crk
N      585 0.98190             0.00001                               BeaverCrk
N      587 0.99000     0.100               0.000     0.000    0.000  Pineville
N      589 1.05000     2.020               0.000     0.000    0.000  ClinchRvr
N      593 1.05000     2.020               0.000     0.000    0.000  ClinchRvr
N      594 1.05000     2.020               0.000     0.000    0.000  ClinchRvr
N      590 1.01905             0.00001                               Holston  
N      591 1.01429             0.00001                               HolstonTP
N      592 1.00571             0.00001                               Saltville
N      599 1.01000             0.00001                               Hinton   
N      600 1.01700     0.850                                         Glen Lyn 
N      700 1.01700     1.000                                         Glen Lyn 
N      711 1.01700     1.000                                         Glen Lyn 
N      603 1.00000     0.600                                         Claytor  
N      604 0.97100             0.00001                               Hancock  
N      605 0.97048             0.00001                               Roanoke  
N      607 0.98095             0.00001                               Reusens  
N      610 0.97300             0.00001                               Fieldale 
N      611 1.02000     0.570               0.000     0.000    0.000  Dan River
N      612 0.98095             0.00001                               Danville 
N      613 1.00952             0.00001                               DeerCk TP
N      616 1.00500     0.920   0.00001                               Kyger Crk
N      617 1.00500     0.920   0.00001                               Kyger Crk
& PURE LOAD BUS (005-418)
N      005                                 0.000     0.000   -0.400  Olive    
N      008                                 0.000     0.000    0.000  Olive    
N      009                                 0.000     0.000    0.000  Beguine  
N      024                                 0.000     0.000    0.000  Trenton  
N      030                                 0.000     0.000    0.000  Sorenson 
N      037                                 0.000     0.000   -0.250  East Lima
N      038                                 0.000     0.000    0.000  East Lima
N      063                                 0.000     0.000    0.000  Tidd     
N      064                                 0.000     0.000    0.000  Kammer   
N      068                                 0.000     0.000    0.000  Sporn    
N      071                                 0.000     0.000    0.000  NPortsmth
N      072                                 0.000     0.000    0.000  Hillsboro
N      073                                 0.000     0.000    0.000  Sargents 
N      081                                 0.000     0.000    0.000  Kanawha  
N      091                                 0.000     0.000    0.000  HolstonTP
N      099                                 0.000     0.000    0.000  Hinton   
N      113                                 0.000     0.000    0.000  DeerCk TP
N      116                                 0.000     0.000    0.000  Kyger Crk
&===*====1====*====2====*====3====*====4====*====5====*====6====*====7====*====8
N      301                                0.5202    0.2700    0.240  RIVERSIDE   
N      302                                0.2040    0.0900    0.000  POKAGON    
N      303                                0.3978    0.0999    0.000  HICKORYCK  
N      304                                0.3060    0.1200    0.000  NCARLISLE  
N      306                                0.5304    0.2199    0.000  KANKAKEE   
N      307                                0.1938    0.0201    0.000  JACKSONRD  
N      311                                0.7140    0.2301    0.000  SOUTHBEND  
N      312                                0.4794    0.0999    0.000  TWNBRANCH  
&      313                                0.3468    0.1599    0.120  CONCORD    
N      313                                0.3468    0.1599    0.240  CONCORD    
N      314                                0.1428    0.0099    0.000  GOSHENJCT  
N      315                                0.9180    0.3000    0.000  FORTWAYNE  
N      316                                0.2550    0.0999    0.000  N. E.      
N      317                                0.1122    0.0300    0.000  SORENSON   
N      318                                0.6120    0.3399    0.000  MCKINLEY   
N      319                                0.4590    0.2499    0.000  LINCOLN    
N      320                                0.1836    0.0300    0.000  ADAMS      
N      321                                0.1428    0.0801    0.120  JAY        
N      322                                0.1020    0.0501    0.000  RANDOLPH   
N      323                                0.0714    0.0300    0.000  COLLGECNR  
N      327                                0.6324    0.0600    0.000  MADISON    
N      328                                0.1734    0.0699    0.000  MULLIN     
N      329                                0.2448    0.0399    0.120  GRANT      
N      331                                0.4386    0.2700    0.120  DEERCREEK  
N      332                                0.6018    0.1899    0.000  DELAWARE   
N      333                                0.2346    0.0900    0.000  HAVILAND   
N      334                                0.6018    0.2601    0.000  ROCKHILL   
N      335                                0.3366    0.0900    0.000  WEST LIMA  
N      336                                0.3162    0.1701    0.000  STERLING   
N      339                                0.2754    0.1101    0.000  NWLIBERTY  
N      340                                0.2040    0.2301    0.120  WEST END   
N      341                                0.3774    0.0999    0.000  S. TIFFIN  
N      342                                0.3774    0.2301    0.000  HOWARD     
N      343                                0.1836    0.0699    0.000  S. KENTON  
N      344                                0.1632    0.0801    0.000  WMTVERNON  
N      345                                0.5406    0.2199    0.120  N. NEWARK  
N      346                                0.2856    0.0999    0.000  W.LANCSTR
N      347                                0.3468    0.0000    0.000  CROOKSVIL
N      348                                0.2040    0.1101    0.000  ZANESVILE
N      349                                0.8874    0.3000    0.000  PHILO    
N      350                                0.1734    0.0399    0.000  W.CAMBRDG
N      351                                0.1734    0.0801    0.000  NEWCMRSTN
N      352                                0.1836    0.0501    0.000  SCOSHOCTN
N      353                                0.2346    0.1101    0.120  WOOSTER  
&===*====1====*====2====*====3====*====4====*====5====*====6====*====7====*====8
N      354                                1.1526    0.3198    0.000
&===*====1====*====2====*====3====*====4====*====5====*====6====*====7====*====8
N      355                                0.6426    0.2199    0.000  WAGENHALS
N      356                                0.8568    0.1800    0.120  SUNNYSIDE
N      357                                0.1224    0.0300    0.000  WNWPHILA1
N      358                                0.1224    0.0300    0.000  WNWPHILA2
&===*====1====*====2====*====3====*====4====*====5====*====6====*====7====*====8
N      359                                2.8251    1.1304    0.000  
&===*====1====*====2====*====3====*====4====*====5====*====6====*====7====*====8
N      360                                0.7956    0.0300    0.000  SW KAMMER  
N      362                                0.7854    0.1401    0.000  NATRIUM    
N      366                                0.3978    0.1800    0.000  MUSKINGUM  
N      367                                0.2856    0.0699    0.000  SUMMERFLD  
N      370                                0.6732    0.1500    0.000  PORTSMOTH  
N      374                                0.6936    0.2700    0.240  BELLEFONT  
N      375                                0.4794    0.1101    0.000  STH POINT  
N      376                                0.6936    0.3600    0.360  DARRAH     
N      377                                0.6222    0.2100    0.120  TURNER     
N      378                                0.7242    0.2601    0.240  CHEMICAL   
N      379                                0.3978    0.3201    0.000  CAPITOLHL  
&===*====1====*====2====*====3====*====4====*====5====*====6====*====7====*====8
N      380                                1.3260    0.2400    0.000  
&===*====1====*====2====*====3====*====4====*====5====*====6====*====7====*====8
N      382                                0.5508    0.2700    0.240  LOGAN    
N      383                                0.2040    0.0999    0.100  SPRIGG   
N      384                                0.1122    0.0699    0.000  BETSYLAYN
N      385                                0.2448    0.1500    0.000  BEAVERCRK
N      386                                0.2142    0.0999    0.000  HAZARD   
N      388                                0.4896    0.0999    0.000  FREMONT  
N      390                                0.7956    0.3801    0.000  HOLSTON  
N      392                                0.6630    0.0999    0.000  SALTVILLE
N      393                                0.1224    0.0399    0.000  TAZEWELL 
N      394                                0.3060    0.1599    0.000  SWITCHBAK
N      395                                0.4284    0.3099    0.120  CALDWELL 
N      396                                0.3876    0.1500    0.000  BAILEYSVL
N      397                                0.1530    0.0900    0.000  SUNDIAL  
N      398                                0.3468    0.0801    0.000  BRADLEY  
N      400                                0.3774    0.1500    0.000  GLEN LYN 
N      401                                0.2244    0.1500    0.000  WYTHE    
N      402                                0.0510    0.0300    0.000  SMYTH    
N      403                                0.2346    0.1401    0.000  CLAYTOR  
N      404                                0.3876    0.2499    0.000  HANCOCK  
N      405                                0.3162    0.2601    0.240  ROANOKE  
N      406                                0.4386    0.1599    0.120  CLOVERDLE
N      407                                0.2856    0.1200    0.120  REUSENS  
N      408                                0.0204    0.0099    0.000  BLAINE   
N      409                                0.0816    0.0300    0.000  FRANKLIN 
N      410                                0.3978    0.2400    0.000  FIELDALE 
N      412                                0.2550    0.1101    0.080  DANVILLE 
N      414                                0.0816    0.0300    0.000  W MEDFORD
N      415                                0.2244    0.0699    0.000  MEDFORD  
N      417                                0.2040    0.0801    0.080  COREY    
N      418                                0.3366    0.1500    0.120  WHUNTNGDN
NEND
